1, 0.003099,
2, 0.000954,
3, 0.000000,
4, 0.000954,
5, 0.000954,
6, 0.000954,
7, 0.001192,
8, 0.000954,
9, 0.000954,
10, 0.000000,
20, 0.001907,
30, 0.002146,
40, 0.002861,
50, 0.003815,
60, 0.003815,
70, 0.005007,
80, 0.005960,
90, 0.005960,
100, 0.006914,
200, 0.012875,
300, 0.021935,
400, 0.025034,
500, 0.031948,
600, 0.038147,
700, 0.046968,
800, 0.051022,
900, 0.056982,
1000, 0.065804,
2000, 0.133991,
3000, 0.235081,
4000, 0.268936,
5000, 0.328064,
6000, 0.416994,
7000, 0.451088,
8000, 0.545025,
9000, 0.581026,
10000, 0.671864,
20000, 1.376152,
30000, 2.076149,
40000, 2.650023,
50000, 1.940966,
60000, 2.368212,
70000, 2.700090,
80000, 3.111124,
90000, 3.460169,
100000, 3.849983,
200000, 7.811069,
300000, 11.597157,
400000, 14.930964,
500000, 19.490004,
600000, 23.555994,
700000, 27.208090,
800000, 29.865026,
900000, 34.219980,
1000000, 37.760973,
2000000, 75.742006,
3000000, 111.334085,
4000000, 150.109053,
5000000, 203.618050,
6000000, 223.688126,
7000000, 255.702019,
8000000, 297.132015,
9000000, 357.208014,
10000000, 381.915092,
20000000, 750.855923,
30000000, 1132.588148,
40000000, 1507.246971,
50000000, 1844.671965,
60000000, 2215.386152,
70000000, 2637.036085,
80000000, 3033.835888,
90000000, 3337.721109,
100000000, 3720.704079,
-1, 0.029087,
